id,app,name,applied
1,AppKeepCoding,0001_initial,2022-04-06 09:52:56.211574
2,contenttypes,0001_initial,2022-04-06 09:52:56.244481
3,auth,0001_initial,2022-04-06 09:52:56.306619
4,admin,0001_initial,2022-04-06 09:52:56.373092
5,admin,0002_logentry_remove_auto_add,2022-04-06 09:52:56.416985
6,admin,0003_logentry_add_action_flag_choices,2022-04-06 09:52:56.447889
7,contenttypes,0002_remove_content_type_name,2022-04-06 09:52:56.502751
8,auth,0002_alter_permission_name_max_length,2022-04-06 09:52:56.529668
9,auth,0003_alter_user_email_max_length,2022-04-06 09:52:56.574585
10,auth,0004_alter_user_username_opts,2022-04-06 09:52:56.615486
11,auth,0005_alter_user_last_login_null,2022-04-06 09:52:56.656365
12,auth,0006_require_contenttypes_0002,2022-04-06 09:52:56.678327
13,auth,0007_alter_validators_add_error_messages,2022-04-06 09:52:56.731168
14,auth,0008_alter_user_username_max_length,2022-04-06 09:52:56.762078
15,auth,0009_alter_user_last_name_max_length,2022-04-06 09:52:56.811954
16,auth,0010_alter_group_name_max_length,2022-04-06 09:52:56.834883
17,auth,0011_update_proxy_permissions,2022-04-06 09:52:56.850840
18,auth,0012_alter_user_first_name_max_length,2022-04-06 09:52:56.876772
19,sessions,0001_initial,2022-04-06 09:52:56.900982
